Ref,Val,Package,PosX,PosY,Rot,Side
"J3","Conn_01x02_Male","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",132.000000,-140.000000,180.000000,bottom
"C1","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",123.900000,-114.650000,0.000000,top
"C2","1nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",131.600000,-97.850000,0.000000,top
"C3","10uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",141.650000,-132.050000,180.000000,top
"C4","10uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",141.400000,-140.250000,180.000000,top
"C5","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",93.000000,-137.700000,180.000000,top
"C6","10uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",80.600000,-135.400000,180.000000,top
"C7","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",65.200000,-141.300000,270.000000,top
"C8","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",81.100000,-138.400000,0.000000,top
"C9","NC","C_0603_1608Metric",76.900000,-110.900000,0.000000,top
"C10","NC","C_0603_1608Metric",81.500000,-110.900000,180.000000,top
"C11","10uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",68.500000,-114.800000,180.000000,top
"C12","10uF","C_1210_3225Metric_Pad1.42x2.65mm_HandSolder",68.500000,-111.100000,180.000000,top
"C13","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",69.100000,-108.200000,0.000000,top
"D1","B230-13-F","D_SMB",140.000000,-99.300000,90.000000,top
"D2","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.400000,-85.500000,0.000000,top
"D3","LED","LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder",57.400000,-89.700000,0.000000,top
"F1","Fuse","Fuse_1206_3216Metric",128.700000,-131.100000,0.000000,top
"J1","Conn_02x05_Odd_Even","PinHeader_2x05_P1.27mm_Vertical_SMD",96.300000,-85.000000,0.000000,top
"J4","Conn_01x02_Male","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",149.900000,-98.100000,90.000000,top
"J9","Conn_01x08_Male","PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Left",106.500000,-100.000000,0.000000,top
"J10","Conn_01x08_Male","PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Left",84.500000,-117.000000,270.000000,top
"Q1","DMG3406L","SOT-23",96.000000,-126.800000,270.000000,top
"Q2","DMG3406L","SOT-23",101.500000,-126.800000,270.000000,top
"Q3","DMG3406L","SOT-23",107.000000,-126.800000,270.000000,top
"Q4","DMG3406L","SOT-23",112.500000,-126.800000,270.000000,top
"Q5","DMG3406L","SOT-23",118.000000,-126.800000,270.000000,top
"Q6","BC817","SOT-23",90.950000,-132.100000,0.000000,top
"R1","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",109.500000,-85.050000,270.000000,top
"R2","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.050000,-85.050000,270.000000,top
"R3","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",114.600000,-85.050000,270.000000,top
"R4","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",117.100000,-85.050000,270.000000,top
"R5","806k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",123.900000,-112.400000,180.000000,top
"R6","2M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",120.700000,-113.450000,270.000000,top
"R7","2M","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",131.600000,-95.700000,180.000000,top
"R8","806k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",128.400000,-96.800000,270.000000,top
"R9","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",137.900000,-133.800000,90.000000,top
"R10","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",96.900000,-120.000000,90.000000,top
"R11","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",102.400000,-120.000000,90.000000,top
"R12","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",107.900000,-119.900000,90.000000,top
"R13","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",113.400000,-119.900000,90.000000,top
"R14","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",118.900000,-119.900000,90.000000,top
"R15","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",95.900000,-123.400000,180.000000,top
"R16","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",101.400000,-123.400000,180.000000,top
"R17","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",106.900000,-123.400000,180.000000,top
"R18","0R5","R_1210_3225Metric_Pad1.42x2.65mm_HandSolder",108.000000,-134.500000,90.000000,top
"R19","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",112.400000,-123.400000,180.000000,top
"R20","0R5","R_1210_3225Metric_Pad1.42x2.65mm_HandSolder",111.600000,-134.500000,90.000000,top
"R21","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",117.900000,-123.400000,180.000000,top
"R22","0R5","R_1210_3225Metric_Pad1.42x2.65mm_HandSolder",115.200000,-134.500000,90.000000,top
"R23","0R5","R_1210_3225Metric_Pad1.42x2.65mm_HandSolder",118.800000,-134.500000,90.000000,top
"R24","0R5","R_1210_3225Metric_Pad1.42x2.65mm_HandSolder",122.400000,-134.500000,90.000000,top
"R25","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",86.700000,-131.100000,180.000000,top
"R26","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",68.300000,-137.100000,180.000000,top
"R27","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.400000,-86.400000,180.000000,top
"R28","1k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",61.400000,-88.600000,180.000000,top
"R29","100k","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",144.100000,-81.000000,90.000000,top
"SW1","SW_Push_SPDT","SW_SPDT_CK-JS102011SAQN",152.900000,-130.300000,90.000000,top
"SW2","SW_Push","Panasonic_EVQPUL_EVQPUC",138.450000,-76.900000,0.000000,top
"SW3","SW_Push","Panasonic_EVQPUL_EVQPUC",128.250000,-76.900000,0.000000,top
"U1","E73-2G4M04S-52832","E73-2G4M04S",77.100000,-83.400000,0.000000,top
"U3","AP2112K-3.3","SOT-23-5",141.400000,-136.050000,270.000000,top
"U4","Logo_NM","Logo_NM",137.200000,-84.600000,0.000000,top
